Leg,Action,Option Type,Strike,Price Used,Source
Buy Call,Buy,Call,545,12.68,Ask
Sell Call,Sell,Call,555,6.85,Bid
Buy Put,Buy,Put,555,11.42,Ask
Sell Put,Sell,Put,545,6.95,Bid
