,AAPL,BTC-USD,CL=F,ETH-USD,GC=F,JPM,MSFT,QQQ,TSLA,^GSPC
2019-04-18 00:00:00+00:00,48.94084548950195,5298.3857421875,64.0,173.81402587890625,1271.9000244140625,96.72742462158203,117.01261138916016,180.8699188232422,18.21733283996582,2905.030029296875
2019-04-19 00:00:00+00:00,,5303.8125,,173.70843505859375,,,,,,
2019-04-20 00:00:00+00:00,,5337.88623046875,,173.7512664794922,,,,,,
2019-04-21 00:00:00+00:00,,5314.53125,,170.04652404785156,,,,,,
2019-04-22 00:00:00+00:00,49.1016845703125,5399.365234375,65.69999694824219,171.87466430664062,1273.5,96.84678649902344,117.38251495361328,181.38143920898438,17.516666412353516,2907.969970703125
2019-04-23 00:00:00+00:00,49.80989074707031,5572.3623046875,66.30000305175781,171.4477996826172,1269.300048828125,96.96613311767578,118.9759521484375,183.68832397460938,17.593332290649414,2933.679931640625
2019-04-24 00:00:00+00:00,49.73307418823242,5464.86669921875,65.88999938964844,165.8260955810547,1275.5,96.80416107177734,118.5680923461914,183.10919189453125,17.243999481201172,2927.25
2019-04-25 00:00:00+00:00,49.28175354003906,5210.515625,65.20999908447266,154.4593963623047,1275.800048828125,96.85530853271484,122.4947509765625,183.85240173339844,16.5086669921875,2926.169921875
2019-04-26 00:00:00+00:00,49.04647445678711,5279.34814453125,63.29999923706055,156.3470916748047,1284.9000244140625,97.5884780883789,123.1966552734375,184.01649475097656,15.675999641418457,2939.8798828125
2019-04-27 00:00:00+00:00,,5268.291015625,,158.4349365234375,,,,,,
2019-04-28 00:00:00+00:00,,5285.13916015625,,157.29507446289062,,,,,,
2019-04-29 00:00:00+00:00,49.12089157104492,5247.3525390625,63.5,155.20199584960938,1278.5999755859375,98.9951400756836,123.08281707763672,184.37362670898438,16.097999572753906,2943.030029296875
2019-04-30 00:00:00+00:00,48.17502212524414,5350.7265625,63.90999984741211,162.16603088378906,1282.800048828125,98.93547821044922,123.87006378173828,182.94508361816406,15.912667274475098,2945.830078125
2019-05-01 00:00:00+00:00,50.53969955444336,5402.697265625,63.599998474121094,160.81834411621094,1281.4000244140625,98.17671203613281,121.29019927978516,182.35629272460938,15.600666999816895,2923.72998046875
2019-05-02 00:00:00+00:00,50.21080780029297,5505.28369140625,61.810001373291016,162.12278747558594,1269.699951171875,98.38985443115234,119.70626068115234,181.56483459472656,16.273332595825195,2917.52001953125
