Date,GS,MS,Spread,Zscore
2018-02-13,217.4407958984375,43.08740234375,45.48520641724579,0.4843900103382188
2018-02-14,223.43995666503906,44.42708206176758,46.137899235052004,0.7251957891202847
2018-02-15,227.77972412109375,44.709556579589844,49.350351754874765,1.5642222769837522
2018-02-16,227.7286834716797,44.49970245361328,50.13680856352212,1.7127059992017761
2018-02-20,225.40565490722656,44.435150146484375,48.071398918310535,1.1503851189664738
2018-02-21,224.13772583007812,44.46744155883789,46.67459948592162,0.7614406948835788
2018-02-22,222.46133422851562,44.273746490478516,45.77121688113303,0.5214385850565076
2018-02-23,227.00538635253906,45.2502555847168,46.418162477502335,0.6579629933849315
2018-02-26,230.8261260986328,46.00886535644531,47.21140036950271,0.8179377592720836
2018-02-27,227.9925079345703,45.77482604980469,45.311799220763874,0.31007534572201967
2018-02-28,224.36581420898438,45.20991134643555,43.93959835249737,-0.03041244204563074
2018-03-01,219.11782836914062,43.97515869140625,43.61933173241826,-0.16245763476683706
2018-03-02,220.26129150390625,44.176910400390625,43.95763298319579,-0.17877811415062855
2018-03-05,224.5279541015625,44.78217697143555,45.80876425717304,0.32732751222850465
2018-03-06,227.7790985107422,45.64570236206055,45.61370375494346,0.18344003115157667
2018-03-07,226.43092346191406,45.903953552246094,43.23488556619495,-1.0387726907271337
2018-03-08,227.2756805419922,45.9685173034668,43.82197805531675,-0.788895383543749
2018-03-09,231.05589294433594,47.348548889160156,42.09468404250555,-1.5311524610080318
2018-03-12,233.28311157226562,47.54222869873047,43.54895456928105,-0.8218173907488654
2018-03-13,229.14439392089844,46.83203887939453,42.24450174671867,-1.361097152715402
2018-03-14,225.6458282470703,45.99272537231445,42.09551485970306,-1.330396969994074
2018-03-15,227.5060577392578,46.178340911865234,43.2149795857604,-0.7525016720048704
2018-03-16,228.3508758544922,46.41238021850586,43.125780685671145,-0.742040413578249
2018-03-19,224.02444458007812,45.9604377746582,40.60298632404644,-1.8205824162897573
2018-03-20,224.58767700195312,46.380096435546875,39.491421740562714,-2.113537367552482
2018-03-21,223.44419860839844,46.089561462402344,39.507426394359044,-1.8956761128592476
2018-03-22,215.55093383789062,44.096195220947266,39.569397921614154,-1.7322527227096194
2018-03-23,209.28750610351562,42.02214050292969,41.58322252210152,-0.9545525990691459
2018-03-26,217.4965362548828,43.821807861328125,42.610040596384636,-0.5533984442257763
2018-03-27,210.99420166015625,42.89372253417969,39.81156028011873,-1.4772382808827051
2018-03-28,212.794677734375,42.70003890991211,42.3849996793966,-0.5335342552344957
2018-03-29,214.91946411132812,43.54742431640625,41.1279934867033,-0.9141254817113058
2018-04-02,211.0709686279297,42.54669952392578,41.27324587946069,-0.8182805730647865
2018-04-03,213.82725524902344,42.90986251831055,42.58020152722307,-0.2668266632023058
2018-04-04,215.5679931640625,43.313377380371094,42.71057000257119,-0.1475736528407696
2018-04-05,218.29013061523438,44.273746490478516,41.60001326785178,-0.6070113531238355
2018-04-06,213.30670166015625,42.80495071411133,42.478335771766865,-0.13688477327984658
2018-04-09,215.2010955810547,43.05513000488281,43.37430033557882,0.3825434157888307
2018-04-10,218.9386749267578,43.69269561767578,44.56744755455256,1.1627543160797873
2018-04-11,215.841064453125,42.56284713745117,45.97889891508328,1.923609630450329
2018-04-12,221.5157012939453,43.458641052246094,48.07855183268342,2.6546206520558098
2018-04-13,218.3839874267578,42.75653076171875,47.74885856365697,2.209636266952337
2018-04-16,220.0565185546875,43.09547805786133,48.068700066756975,2.1114011522841687
2018-04-17,216.42987060546875,42.96635055541992,44.95738129945087,0.8378838982742995
2018-04-18,216.74557495117188,42.98249053955078,45.20867330339115,0.9553456974392989
2018-04-19,216.8906707763672,44.14461898803711,40.71588261089724,-0.9017000096744592
2018-04-20,215.0048065185547,43.95093536376953,39.60298167814386,-1.273389305436818
2018-04-23,210.49070739746094,43.28916931152344,37.72989513666144,-1.8536160207281467
2018-04-24,206.92379760742188,42.82917022705078,35.99877514662589,-2.204096200187181
2018-04-25,204.14195251464844,41.9979248046875,36.534310281736026,-1.8311819172596029
2018-04-26,204.87574768066406,42.127037048339844,36.7528371614587,-1.6201072971963666
2018-04-27,204.62831115722656,42.05406188964844,36.79663393935027,-1.48240706406005
2018-04-30,203.37393188476562,41.85945129394531,36.318917400846686,-1.4982921502562896
2018-05-01,201.95736694335938,42.013519287109375,34.28748938708924,-1.8912579282389856
2018-05-02,199.7217254638672,41.92430877685547,32.40787414831223,-2.143083846737278
2018-05-03,199.17555236816406,41.42155075073242,33.86813560298364,-1.6533682455344736
2018-05-04,200.4811553955078,41.6810417175293,34.13814772130448,-1.4874379363917158
2018-05-07,202.40965270996094,42.483848571777344,32.862759019134245,-1.628539040526923
2018-05-08,202.239013671875,43.286659240722656,29.488218740520068,-2.0867975864800874
2018-05-09,206.27525329589844,43.9029541015625,31.06491473170908,-1.6318052162040246
2018-05-10,207.73443603515625,44.63277053833008,29.61150565129236,-1.7336086445548908
2018-05-11,207.2906951904297,44.76252365112305,28.649938904244465,-1.734051920242603
2018-05-14,208.135498046875,44.77873992919922,29.430024940828332,-1.4778030458157678
2018-05-15,206.1301727294922,44.47869873046875,28.622120641884436,-1.4845301194434979
2018-05-16,205.61819458007812,44.57601547241211,27.721765453776925,-1.4997054759800377
2018-05-17,204.03099060058594,44.49492645263672,26.458176021401925,-1.5559596341927073
2018-05-18,202.239013671875,43.72453308105469,27.740727589116034,-1.2709664633327764
2018-05-21,202.8363494873047,44.08135223388672,26.914049785114543,-1.2947932908607025
